Latitude_Degrees;Longitude_Degrees;Ocean_Name;Ecoregion_Name;Distance_to_Shore;Exposure;Turbidity;Cyclone_Frequency;Date_Year;Percent_Bleaching;Temperature_Kelvin;Temperature_Mean
-4.96;119.28;Pacific;Makassar Strait Indonesia;1069.52;Sheltered;0.0707;50.49;2010;75;303.51;302.23
-4.972;119.284;Pacific;Makassar Strait Indonesia;458.48;Sheltered;0.0707;50.49;2010;75;303.51;302.23
-8.753;115.161;Indian;Lesser Sunda Islands and Savu Sea;210.91;Sometimes;0.0728;35.92;2010;75;300.73;300.48
-8.092;114.417;Pacific;Lesser Sunda Islands and Savu Sea;140.16;Sheltered;0.0465;48.78;2010;75;303.04;301.87
24.3669;124.0034;Pacific;South Ryukyu Islands Japan;248.75;Sheltered;0.0624;65.58;2016;75;301.3;298.85
24.4548;124.1098;Pacific;South Ryukyu Islands Japan;810.55;Sheltered;0.0422;50.23;2016;75;302.17;298.93
24.4826;124.1254;Pacific;South Ryukyu Islands Japan;372.3;Sometimes;0.0417;50.23;2016;75;301.4;298.92
24.4837;124.1232;Pacific;South Ryukyu Islands Japan;368.81;Sometimes;0.0506;50.23;2016;75;300.78;298.92
30.4577;130.4888;Pacific;South-east Kyushu Japan;26.81;Exposed;0.0445;66.97;2016;75;302.04;296.76
30.4579;130.4889;Pacific;South-east Kyushu Japan;33.4;Exposed;0.0445;66.97;2013;75;302.82;296.76
30.4581;130.4889;Pacific;South-east Kyushu Japan;33.03;Exposed;0.0445;66.97;2016;75;302.04;296.76
30.4581;130.4889;Pacific;South-east Kyushu Japan;34.62;Exposed;0.0445;66.97;2016;75;303.04;296.76
24.3661;124.0003;Pacific;South Ryukyu Islands Japan;99.61;Sheltered;0.0624;65.58;2016;75;301.3;298.85
26.2328;127.3109;Pacific;North Ryukyu Islands Japan;204.8;Sheltered;0.0516;69.92;2016;75;301.61;297.95
24.8136;125.1447;Pacific;South Ryukyu Islands Japan;46.02;Sheltered;0.0597;72.18;2016;75;304;298.69
24.8614;125.2838;Pacific;South Ryukyu Islands Japan;79.48;Sheltered;0.0483;66.00;2013;75;303.37;298.49
24.9370;125.2333;Pacific;South Ryukyu Islands Japan;46.59;Sheltered;0.0517;63.88;2015;75;302.28;298.58
26.3269;127.7443;Pacific;North Ryukyu Islands Japan;76.06;Exposed;0.046;65.56;2013;75;301.74;297.79
26.3271;127.7439;Pacific;North Ryukyu Islands Japan;110.08;Exposed;0.046;65.56;2013;75;301.74;297.79
26.3324;127.7423;Pacific;North Ryukyu Islands Japan;29.28;Exposed;0.046;65.56;2013;75;301.06;297.82
26.3326;127.7416;Pacific;North Ryukyu Islands Japan;97.07;Exposed;0.046;65.56;2013;75;301.07;297.82
26.3620;127.7372;Pacific;North Ryukyu Islands Japan;95.79;Exposed;0.0439;64.69;2013;75;301.06;297.82
26.5532;127.9696;Pacific;North Ryukyu Islands Japan;54.84;Exposed;0.0395;65.87;2013;75;301.63;297.9
26.7155;128.0183;Pacific;North Ryukyu Islands Japan;134.65;Exposed;0.0424;60.98;2016;75;301.04;297.62
32.7779;132.7321;Pacific;Shikoku Japan;71.67;Sheltered;0.0584;57.74;2010;75;301.85;295.39
24.3094;124.1033;Pacific;South Ryukyu Islands Japan;1102.27;Exposed;0.1107;65.89;2016;75;301.14;298.88
24.3125;124.1029;Pacific;South Ryukyu Islands Japan;848.21;Exposed;0.1107;65.89;2016;75;300.54;298.88
24.3480;124.0922;Pacific;South Ryukyu Islands Japan;1003.04;Exposed;0.0512;64.82;2016;75;303.19;298.84
24.3637;124.0413;Pacific;South Ryukyu Islands Japan;3797.91;Exposed;0.0624;65.58;2016;75;301.64;298.83
24.3662;124.2520;Pacific;South Ryukyu Islands Japan;220.34;Sheltered;0.0331;68.44;2016;75;304.03;298.93
24.3792;123.9384;Pacific;South Ryukyu Islands Japan;1317.51;Exposed;0.0419;65.58;2016;75;301.25;298.97
24.3884;124.1165;Pacific;South Ryukyu Islands Japan;1262.73;Sometimes;0.0489;64.82;2016;75;303.14;298.86
24.3995;124.1000;Pacific;South Ryukyu Islands Japan;2349.65;Sometimes;0.0489;64.82;2016;75;303.29;298.88
24.4042;124.1129;Pacific;South Ryukyu Islands Japan;2478.62;Sometimes;0.0489;64.82;2016;75;301.64;298.86
24.4156;124.1139;Pacific;South Ryukyu Islands Japan;1593.97;Sometimes;0.0489;64.82;2016;75;301.86;298.90
24.4186;124.0662;Pacific;South Ryukyu Islands Japan;1104.75;Exposed;0.0435;66.81;2016;75;303.39;298.89
24.4215;124.0924;Pacific;South Ryukyu Islands Japan;447.96;Sheltered;0.0422;50.23;2016;75;302.07;298.90
24.4367;123.7763;Pacific;South Ryukyu Islands Japan;53.76;Sheltered;0.0368;77.11;2016;75;304;299.14
24.4504;124.1733;Pacific;South Ryukyu Islands Japan;99.54;Sheltered;0.0355;50.23;2016;75;303.99;298.87
24.4561;124.1862;Pacific;South Ryukyu Islands Japan;148.57;Sheltered;0.0355;50.23;2016;75;302.53;298.86
24.4578;124.1647;Pacific;South Ryukyu Islands Japan;712.23;Exposed;0.0416;50.23;2016;75;303.88;298.86
24.4961;124.2290;Pacific;South Ryukyu Islands Japan;82.37;Sheltered;0.0371;50.23;2016;75;303.73;298.85
24.6093;124.3254;Pacific;South Ryukyu Islands Japan;277.87;Sheltered;0.0516;66.37;2016;75;303.31;298.87
26.2762;127.7004;Pacific;North Ryukyu Islands Japan;710.5;Exposed;0.0432;65.56;2013;75;300.98;297.86
26.2870;127.7214;Pacific;North Ryukyu Islands Japan;987.8;Exposed;0.0438;65.56;2013;75;300.88;297.81
26.3515;127.7438;Pacific;North Ryukyu Islands Japan;43.39;Sheltered;0.0439;64.69;2013;75;303.41;297.82
26.4448;127.7695;Pacific;North Ryukyu Islands Japan;80.7;Exposed;0.0341;64.30;2013;75;302.17;297.82
26.5281;127.9242;Pacific;North Ryukyu Islands Japan;76.03;Sheltered;0.0380;65.87;2013;75;301.21;297.78
24.3227;124.1665;Pacific;South Ryukyu Islands Japan;818.13;Exposed;0.1505;65.89;2016;75;300.39;298.95
24.3254;124.1637;Pacific;South Ryukyu Islands Japan;576.87;Exposed;0.1505;65.89;2015;75;301.82;298.95
24.3417;124.0881;Pacific;South Ryukyu Islands Japan;187.36;Sheltered;0.0512;64.82;2016;75;301.64;298.84
